text,label
Official support here. Connect your wallet now to recover funds.,scam
Guaranteed 100x returns if you invest before midnight.,scam
Your wallet has been compromised. Verify immediately.,scam
Claim your free crypto airdrop by connecting your wallet.,scam
Send 0.5 ETH now and receive double back instantly.,scam
Bitcoin price increased after market reports.,legitimate
Coinbase released new developer tools.,legitimate
Ethereum fees decreased this week.,legitimate
The SEC released investor education guidance on crypto assets.,legitimate
Binance published a blog post about wallet safety practices.,legitimate
