text,label,source
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,legitimate,mendeley_sms_phishing
What's up? Do you want me to come online? If you are free we can talk sometime�,legitimate,mendeley_sms_phishing
So u workin overtime nigpun?,legitimate,mendeley_sms_phishing
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",legitimate,mendeley_sms_phishing
Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,scam,mendeley_sms_phishing
BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,scam,mendeley_sms_phishing
Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,legitimate,mendeley_sms_phishing
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,legitimate,mendeley_sms_phishing
Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,legitimate,mendeley_sms_phishing
Wat r u doing now?,legitimate,mendeley_sms_phishing
Buy one egg for me da..please:),legitimate,mendeley_sms_phishing
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,legitimate,mendeley_sms_phishing
Stop the story. I've told him i've returned it and he's saying i should not re order it.,legitimate,mendeley_sms_phishing
No. I dont want to hear anything,legitimate,mendeley_sms_phishing
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",legitimate,mendeley_sms_phishing
I'm e person who's doing e sms survey...,legitimate,mendeley_sms_phishing
Mm i had my food da from out,legitimate,mendeley_sms_phishing
"4 tacos + 1 rajas burrito, right?",legitimate,mendeley_sms_phishing
"House-Maid is the murderer, coz the man was murdered on  26th January.. ",legitimate,mendeley_sms_phishing
Yes! How is a pretty lady like you single?,legitimate,mendeley_sms_phishing
(That said can you text him one more time?),legitimate,mendeley_sms_phishing
I know she called me,legitimate,mendeley_sms_phishing
In sch but neva mind u eat 1st lor..,legitimate,mendeley_sms_phishing
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,scam,mendeley_sms_phishing
Jay says that you're a double-faggot,legitimate,mendeley_sms_phishing
Ok i thk i got it. Then u wan me 2 come now or wat?,legitimate,mendeley_sms_phishing
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,scam,mendeley_sms_phishing
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",scam,mendeley_sms_phishing
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,legitimate,mendeley_sms_phishing
Whens your radio show?,legitimate,mendeley_sms_phishing
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",legitimate,mendeley_sms_phishing
"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",scam,mendeley_sms_phishing
What * u wearing?,legitimate,mendeley_sms_phishing
o turns out i had stereo love on mi phone under the unknown album.,legitimate,mendeley_sms_phishing
"Ela kano.,il download, come wen ur free..",legitimate,mendeley_sms_phishing
"Haha figures, well I found the piece and priscilla's bowl",legitimate,mendeley_sms_phishing
Can you do online transaction?,legitimate,mendeley_sms_phishing
Ü neva tell me how i noe... I'm not at home in da aft wat...,legitimate,mendeley_sms_phishing
	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,scam,mendeley_sms_phishing
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,scam,mendeley_sms_phishing
What you doing?how are you?,legitimate,mendeley_sms_phishing
I didn't get the second half of that message,legitimate,mendeley_sms_phishing
Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,scam,mendeley_sms_phishing
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,legitimate,mendeley_sms_phishing
Ok lor�whats up�,legitimate,mendeley_sms_phishing
Hello madam how are you ?,legitimate,mendeley_sms_phishing
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,legitimate,mendeley_sms_phishing
Good. do you think you could send me some pix? I would love to see your top and bottom...,legitimate,mendeley_sms_phishing
Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,scam,mendeley_sms_phishing
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,legitimate,mendeley_sms_phishing
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",legitimate,mendeley_sms_phishing
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",legitimate,mendeley_sms_phishing
Ok..let me knw,legitimate,mendeley_sms_phishing
You are a very very very very bad girl. Or lady.,legitimate,mendeley_sms_phishing
	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,scam,mendeley_sms_phishing
K then 2marrow are you coming to class.,legitimate,mendeley_sms_phishing
Kallis wont bat in 2nd innings.,legitimate,mendeley_sms_phishing
Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,legitimate,mendeley_sms_phishing
Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,scam,mendeley_sms_phishing
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",legitimate,mendeley_sms_phishing
Every day i use to sleep after  &lt;#&gt;  so only.,legitimate,mendeley_sms_phishing
"Sorry, have urgent work..",legitimate,mendeley_sms_phishing
Good Morning plz call me sir..I have an urgent work..,legitimate,mendeley_sms_phishing
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,legitimate,mendeley_sms_phishing
"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",legitimate,mendeley_sms_phishing
Its hard to believe things like this. All can say lie but think twice before saying anything to me.,legitimate,mendeley_sms_phishing
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),legitimate,mendeley_sms_phishing
"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",scam,mendeley_sms_phishing
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,legitimate,mendeley_sms_phishing
You need to get up. Now.,legitimate,mendeley_sms_phishing
	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,scam,mendeley_sms_phishing
Howz pain?hope u r fine..,legitimate,mendeley_sms_phishing
Love it! The girls at the office may wonder why you are smiling but sore...,legitimate,mendeley_sms_phishing
	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,scam,mendeley_sms_phishing
it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,legitimate,mendeley_sms_phishing
how's things? Just a quick question.,legitimate,mendeley_sms_phishing
Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,legitimate,mendeley_sms_phishing
"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",legitimate,mendeley_sms_phishing
Sorry i missed your call. Can you please call back.,legitimate,mendeley_sms_phishing
How are you. Its been ages. How's abj,legitimate,mendeley_sms_phishing
